filter,rx_index,time_ps,softOut,rx_bit,tx_bit
fir,0,6835000,-16,1,1
legacy,0,6885000,-20,1,1
fir,1,7835000,-32,1,1
legacy,1,7885000,-20,1,1
fir,2,8835000,24,0,0
legacy,2,8885000,30,0,0
fir,3,9835000,-36,1,1
legacy,3,9885000,-40,1,1
fir,4,10835000,-42,1,1
legacy,4,10885000,-46,1,1
fir,5,11835000,-38,1,1
legacy,5,11885000,-42,1,1
fir,6,12835000,42,0,0
legacy,6,12885000,42,0,0
fir,7,13835000,36,0,0
legacy,7,13885000,40,0,0
fir,8,14835000,-38,1,1
legacy,8,14885000,-38,1,1
fir,9,15835000,42,0,0
legacy,9,15885000,38,0,0
fir,10,16835000,-42,1,1
legacy,10,16885000,-38,1,1
fir,11,17835000,44,0,0
legacy,11,17885000,40,0,0
fir,12,18835000,44,0,0
legacy,12,18885000,46,0,0
fir,13,19835000,36,0,0
legacy,13,19885000,40,0,0
fir,14,20835000,-38,1,1
legacy,14,20885000,-38,1,1
fir,15,21835000,42,0,0
legacy,15,21885000,38,0,0
fir,16,22835000,-42,1,1
legacy,16,22885000,-38,1,1
fir,17,23835000,42,0,0
legacy,17,23885000,38,0,0
fir,18,24835000,-42,1,1
legacy,18,24885000,-38,1,1
fir,19,25835000,44,0,0
legacy,19,25885000,40,0,0
fir,20,26835000,36,0,0
legacy,20,26885000,40,0,0
fir,21,27835000,-38,1,1
legacy,21,27885000,-40,1,1
fir,22,28835000,44,0,0
legacy,22,28885000,40,0,0
fir,23,29835000,36,0,0
legacy,23,29885000,40,0,0
fir,24,30835000,-38,1,1
legacy,24,30885000,-38,1,1
fir,25,31835000,42,0,0
legacy,25,31885000,38,0,0
fir,26,32835000,-44,1,1
legacy,26,32885000,-40,1,1
fir,27,33835000,-42,1,1
legacy,27,33885000,-46,1,1
fir,28,34835000,-42,1,1
legacy,28,34885000,-46,1,1
fir,29,35835000,-38,1,1
legacy,29,35885000,-40,1,1
fir,30,36835000,40,0,0
legacy,30,36885000,38,0,0
fir,31,37835000,-42,1,1
legacy,31,37885000,-38,1,1
fir,32,38835000,44,0,0
legacy,32,38885000,40,0,0
fir,33,39835000,44,0,0
legacy,33,39885000,46,0,0
fir,34,40835000,36,0,0
legacy,34,40885000,40,0,0
fir,35,41835000,-38,1,1
legacy,35,41885000,-38,1,1
fir,36,42835000,42,0,0
legacy,36,42885000,38,0,0
fir,37,43835000,-44,1,1
legacy,37,43885000,-40,1,1
fir,38,44835000,-38,1,1
legacy,38,44885000,-40,1,1
fir,39,45835000,40,0,0
legacy,39,45885000,40,0,0
fir,40,46835000,-44,1,1
legacy,40,46885000,-40,1,1
fir,41,47835000,-42,1,1
legacy,41,47885000,-46,1,1
fir,42,48835000,-42,1,1
legacy,42,48885000,-48,1,1
fir,43,49835000,-42,1,1
legacy,43,49885000,-48,1,1
fir,44,50835000,-42,1,1
legacy,44,50885000,-48,1,1
fir,45,51835000,-42,1,1
legacy,45,51885000,-46,1,1
fir,46,52835000,-38,1,1
legacy,46,52885000,-40,1,1
fir,47,53835000,40,0,0
legacy,47,53885000,38,0,0
fir,48,54835000,-42,1,1
legacy,48,54885000,-38,1,1
fir,49,55835000,42,0,0
legacy,49,55885000,38,0,0
fir,50,56835000,-44,1,1
legacy,50,56885000,-40,1,1
fir,51,57835000,-42,1,1
legacy,51,57885000,-46,1,1
