"rx_index","time_ns","softOut"
"0","6885000","-20"
"1","7885000","-20"
"2","8885000","30"
"3","9885000","-40"
"4","10885000","-46"
"5","11885000","-42"
"6","12885000","42"
"7","13885000","40"
"8","14885000","-38"
"9","15885000","38"
"10","16885000","-38"
"11","17885000","40"
"12","18885000","46"
"13","19885000","40"
"14","20885000","-38"
"15","21885000","38"
"16","22885000","-38"
"17","23885000","38"
"18","24885000","-38"
"19","25885000","40"
"20","26885000","40"
"21","27885000","-40"
"22","28885000","40"
"23","29885000","40"
"24","30885000","-38"
"25","31885000","38"
"26","32885000","-40"
"27","33885000","-46"
"28","34885000","-46"
"29","35885000","-40"
"30","36885000","38"
"31","37885000","-38"
"32","38885000","40"
"33","39885000","46"
"34","40885000","40"
"35","41885000","-38"
"36","42885000","38"
"37","43885000","-40"
"38","44885000","-40"
"39","45885000","40"
"40","46885000","-40"
"41","47885000","-46"
"42","48885000","-48"
"43","49885000","-48"
"44","50885000","-48"
"45","51885000","-46"
"46","52885000","-40"
"47","53885000","38"
"48","54885000","-38"
"49","55885000","38"
"50","56885000","-40"
"51","57885000","-46"
"52","58885000","-48"
"53","59885000","-48"
"54","60885000","-48"
"55","61885000","-48"
"56","62885000","-48"
"57","63885000","-48"
"58","64885000","-48"
"59","65885000","-48"
"60","66885000","-48"
"61","67885000","-46"
"62","68885000","-40"
"63","69885000","40"
"64","70885000","-40"
"65","71885000","-42"
"66","72885000","42"
"67","73885000","46"
"68","74885000","48"
"69","75885000","46"
"70","76885000","42"
"71","77885000","-42"
"72","78885000","-42"
"73","79885000","42"
"74","80885000","46"
"75","81885000","40"
"76","82885000","-38"
"77","83885000","38"
"78","84885000","-38"
"79","85885000","40"
"80","86885000","42"
"81","87885000","-42"
"82","88885000","-40"
"83","89885000","38"
"84","90885000","-38"
"85","91885000","40"
"86","92885000","46"
"87","93885000","40"
"88","94885000","-38"
"89","95885000","38"
"90","96885000","-38"
"91","97885000","40"
"92","98885000","46"
"93","99885000","42"
"94","100885000","-42"
"95","101885000","-40"
"96","102885000","40"
"97","103885000","-40"
"98","104885000","-46"
"99","105885000","-48"
"100","106885000","-46"
"101","107885000","-40"
"102","108885000","38"
"103","109885000","-38"
"104","110885000","38"
"105","111885000","-38"
"106","112885000","40"
"107","113885000","46"
"108","114885000","46"
"109","115885000","40"
"110","116885000","-40"
"111","117885000","40"
"112","118885000","40"
"113","119885000","-40"
"114","120885000","40"
"115","121885000","46"
"116","122885000","48"
"117","123885000","46"
"118","124885000","42"
"119","125885000","-42"
"120","126885000","-42"
"121","127885000","42"
"122","128885000","40"
"123","129885000","-38"
"124","130885000","38"
"125","131885000","-40"
"126","132885000","-46"
"127","133885000","-48"
"128","134885000","-46"
"129","135885000","-42"
"130","136885000","42"
"131","137885000","42"
"132","138885000","-42"
"133","139885000","-40"
"134","140885000","38"
"135","141885000","-38"
"136","142885000","38"
"137","143885000","-38"
"138","144885000","38"
"139","145885000","-38"
"140","146885000","38"
"141","147885000","-40"
"142","148885000","-46"
"143","149885000","-48"
