"tx_index","tx_bit"
"0","1"
"1","1"
"2","0"
"3","1"
"4","1"
"5","1"
"6","0"
"7","0"
"8","1"
"9","0"
"10","1"
"11","0"
"12","0"
"13","0"
"14","1"
"15","0"
"16","1"
"17","0"
"18","1"
"19","0"
"20","0"
"21","1"
"22","0"
"23","0"
"24","1"
"25","0"
"26","1"
"27","1"
"28","1"
"29","1"
"30","0"
"31","1"
"32","0"
"33","0"
"34","0"
"35","1"
"36","0"
"37","1"
"38","1"
"39","0"
"40","1"
"41","1"
"42","1"
"43","1"
"44","1"
"45","1"
"46","1"
"47","0"
"48","1"
"49","0"
"50","1"
"51","1"
"52","1"
"53","1"
"54","1"
"55","1"
"56","1"
"57","1"
"58","1"
"59","1"
"60","1"
"61","1"
"62","1"
"63","0"
"64","1"
"65","1"
"66","0"
"67","0"
"68","0"
"69","0"
"70","0"
"71","1"
"72","1"
"73","0"
"74","0"
"75","0"
"76","1"
"77","0"
"78","1"
"79","0"
"80","0"
"81","1"
"82","1"
"83","0"
"84","1"
"85","0"
"86","0"
"87","0"
"88","1"
"89","0"
"90","1"
"91","0"
"92","0"
"93","0"
"94","1"
"95","1"
"96","0"
"97","1"
"98","1"
"99","1"
"100","1"
"101","1"
"102","0"
"103","1"
"104","0"
"105","1"
"106","0"
"107","0"
"108","0"
"109","0"
"110","1"
"111","0"
"112","0"
"113","1"
"114","0"
"115","0"
"116","0"
"117","0"
"118","0"
"119","1"
"120","1"
"121","0"
"122","0"
"123","1"
"124","0"
"125","1"
"126","1"
"127","1"
"128","1"
"129","1"
"130","0"
"131","0"
"132","1"
"133","1"
"134","0"
"135","1"
"136","0"
"137","1"
"138","0"
"139","1"
"140","0"
"141","1"
"142","1"
"143","1"
"144","1"
"145","1"
"146","1"
"147","1"
"148","1"
"149","1"
"150","1"
"151","1"
"152","0"
"153","0"
"154","0"
"155","1"
"156","1"
"157","1"
"158","1"
"159","0"
"160","0"
"161","0"
"162","1"
"163","1"
"164","0"
"165","1"
"166","1"
"167","1"
"168","0"
"169","0"
"170","1"
"171","0"
"172","1"
"173","1"
"174","0"
"175","1"
"176","1"
"177","1"
"178","0"
"179","1"
"180","0"
"181","1"
"182","1"
"183","1"
"184","1"
"185","0"
"186","1"
"187","0"
"188","0"
"189","0"
"190","0"
"191","1"
"192","0"
"193","0"
"194","0"
"195","1"
"196","1"
"197","1"
"198","0"
"199","1"
"200","1"
"201","0"
"202","0"
"203","0"
"204","0"
"205","1"
"206","1"
"207","1"
"208","0"
"209","0"
"210","0"
"211","1"
"212","1"
"213","0"
"214","1"
"215","1"
"216","1"
"217","0"
"218","1"
"219","1"
"220","1"
"221","1"
"222","0"
"223","1"
"224","0"
"225","1"
"226","1"
"227","1"
"228","0"
"229","1"
"230","1"
"231","1"
"232","0"
"233","0"
"234","1"
"235","1"
"236","1"
"237","0"
"238","0"
"239","0"
"240","1"
"241","0"
"242","0"
"243","1"
"244","0"
"245","0"
"246","0"
"247","0"
"248","0"
"249","1"
"250","0"
"251","1"
"252","1"
"253","1"
"254","1"
"255","0"
"256","0"
"257","0"
"258","0"
"259","0"
"260","1"
"261","1"
"262","0"
"263","0"
"264","0"
"265","0"
"266","1"
"267","0"
"268","1"
"269","0"
"270","1"
"271","0"
"272","1"
"273","1"
"274","0"
"275","0"
"276","0"
"277","0"
"278","1"
"279","0"
"280","1"
"281","1"
"282","1"
"283","0"
"284","0"
"285","0"
"286","0"
"287","1"
"288","0"
"289","0"
"290","1"
"291","0"
"292","0"
"293","0"
"294","0"
"295","1"
"296","0"
"297","1"
"298","0"
"299","1"
"300","1"
"301","0"
"302","1"
"303","0"
"304","1"
"305","1"
"306","0"
"307","1"
"308","1"
"309","0"
"310","1"
"311","1"
"312","0"
"313","1"
"314","1"
"315","0"
"316","0"
"317","1"
"318","0"
"319","0"
"320","0"
"321","0"
"322","1"
"323","0"
"324","0"
"325","1"
"326","1"
"327","1"
"328","0"
"329","0"
"330","0"
"331","1"
"332","1"
"333","1"
"334","1"
"335","0"
"336","1"
"337","0"
"338","1"
"339","1"
"340","0"
"341","0"
"342","1"
"343","1"
"344","0"
"345","1"
"346","1"
"347","0"
"348","0"
"349","0"
"350","0"
"351","0"
"352","1"
"353","0"
"354","1"
"355","0"
"356","0"
"357","0"
"358","1"
"359","0"
"360","1"
"361","0"
"362","0"
"363","0"
"364","0"
"365","0"
"366","0"
"367","1"
"368","0"
"369","1"
"370","0"
"371","0"
"372","0"
"373","0"
"374","0"
"375","1"
"376","0"
"377","1"
"378","0"
"379","0"
"380","1"
"381","1"
"382","1"
"383","0"
"384","0"
"385","0"
"386","0"
"387","1"
"388","1"
"389","0"
"390","0"
"391","1"
"392","0"
"393","0"
"394","1"
"395","1"
"396","1"
"397","0"
"398","1"
"399","1"
"400","1"
"401","0"
"402","0"
"403","1"
"404","1"
"405","0"
"406","1"
"407","0"
"408","1"
"409","0"
"410","0"
"411","1"
"412","0"
"413","1"
"414","1"
"415","0"
"416","1"
"417","0"
"418","0"
"419","0"
"420","0"
"421","0"
"422","1"
"423","0"
"424","1"
"425","1"
"426","1"
"427","1"
"428","1"
"429","1"
"430","0"
"431","1"
"432","1"
"433","0"
"434","0"
"435","0"
"436","0"
"437","1"
"438","1"
"439","0"
"440","0"
"441","1"
"442","1"
"443","1"
"444","0"
"445","0"
"446","0"
"447","1"
"448","1"
"449","0"
"450","1"
"451","1"
"452","0"
"453","1"
"454","1"
"455","1"
"456","0"
"457","0"
"458","0"
"459","1"
"460","0"
"461","1"
"462","0"
"463","0"
"464","0"
"465","0"
"466","1"
"467","0"
"468","0"
"469","0"
"470","1"
"471","1"
"472","0"
"473","0"
"474","1"
"475","0"
"476","1"
"477","0"
"478","1"
"479","0"
"480","0"
"481","0"
"482","0"
"483","1"
"484","1"
"485","0"
"486","1"
"487","0"
"488","0"
"489","1"
"490","1"
"491","0"
"492","1"
"493","0"
"494","1"
"495","0"
"496","1"
"497","0"
"498","1"
"499","1"
"500","1"
"501","0"
"502","0"
"503","0"
"504","0"
"505","1"
"506","1"
"507","0"
"508","1"
"509","0"
"510","1"
"511","0"
"512","0"
"513","1"
"514","0"
"515","0"
"516","1"
"517","1"
"518","1"
"519","1"
"520","1"
"521","0"
"522","1"
"523","1"
"524","1"
"525","1"
"526","1"
"527","0"
"528","0"
"529","1"
"530","1"
"531","0"
"532","0"
"533","0"
"534","0"
"535","0"
"536","1"
"537","0"
"538","1"
"539","1"
