rx_index,time_ns,softOut,rx_bit,tx_bit
0,6885000,-20,1,1
1,7885000,-20,1,1
2,8885000,30,0,0
3,9885000,-40,1,1
4,10885000,-46,1,1
5,11885000,-42,1,1
6,12885000,42,0,0
7,13885000,40,0,0
8,14885000,-38,1,1
9,15885000,38,0,0
10,16885000,-38,1,1
11,17885000,40,0,0
12,18885000,46,0,0
13,19885000,40,0,0
14,20885000,-38,1,1
15,21885000,38,0,0
16,22885000,-38,1,1
17,23885000,38,0,0
18,24885000,-38,1,1
19,25885000,40,0,0
20,26885000,40,0,0
21,27885000,-40,1,1
22,28885000,40,0,0
23,29885000,40,0,0
24,30885000,-38,1,1
25,31885000,38,0,0
26,32885000,-40,1,1
27,33885000,-46,1,1
28,34885000,-46,1,1
29,35885000,-40,1,1
30,36885000,38,0,0
31,37885000,-38,1,1
32,38885000,40,0,0
33,39885000,46,0,0
34,40885000,40,0,0
35,41885000,-38,1,1
36,42885000,38,0,0
37,43885000,-40,1,1
38,44885000,-40,1,1
39,45885000,40,0,0
40,46885000,-40,1,1
41,47885000,-46,1,1
42,48885000,-48,1,1
43,49885000,-48,1,1
44,50885000,-48,1,1
45,51885000,-46,1,1
46,52885000,-40,1,1
47,53885000,38,0,0
48,54885000,-38,1,1
49,55885000,38,0,0
50,56885000,-40,1,1
51,57885000,-46,1,1
52,58885000,-48,1,1
53,59885000,-48,1,1
54,60885000,-48,1,1
55,61885000,-48,1,1
56,62885000,-48,1,1
57,63885000,-48,1,1
58,64885000,-48,1,1
59,65885000,-48,1,1
60,66885000,-48,1,1
61,67885000,-46,1,1
62,68885000,-40,1,1
63,69885000,40,0,0
64,70885000,-40,1,1
65,71885000,-42,1,1
66,72885000,42,0,0
67,73885000,46,0,0
68,74885000,48,0,0
69,75885000,46,0,0
70,76885000,42,0,0
71,77885000,-42,1,1
72,78885000,-42,1,1
73,79885000,42,0,0
74,80885000,46,0,0
75,81885000,40,0,0
76,82885000,-38,1,1
77,83885000,38,0,0
78,84885000,-38,1,1
79,85885000,40,0,0
80,86885000,42,0,0
81,87885000,-42,1,1
82,88885000,-40,1,1
83,89885000,38,0,0
84,90885000,-38,1,1
85,91885000,40,0,0
86,92885000,46,0,0
87,93885000,40,0,0
88,94885000,-38,1,1
89,95885000,38,0,0
90,96885000,-38,1,1
91,97885000,40,0,0
92,98885000,46,0,0
93,99885000,42,0,0
94,100885000,-42,1,1
95,101885000,-40,1,1
96,102885000,40,0,0
97,103885000,-40,1,1
98,104885000,-46,1,1
99,105885000,-48,1,1
100,106885000,-46,1,1
101,107885000,-40,1,1
102,108885000,38,0,0
103,109885000,-38,1,1
104,110885000,38,0,0
105,111885000,-38,1,1
106,112885000,40,0,0
107,113885000,46,0,0
108,114885000,46,0,0
109,115885000,40,0,0
110,116885000,-40,1,1
111,117885000,40,0,0
112,118885000,40,0,0
113,119885000,-40,1,1
114,120885000,40,0,0
115,121885000,46,0,0
116,122885000,48,0,0
117,123885000,46,0,0
118,124885000,42,0,0
119,125885000,-42,1,1
120,126885000,-42,1,1
121,127885000,42,0,0
122,128885000,40,0,0
123,129885000,-38,1,1
124,130885000,38,0,0
125,131885000,-40,1,1
126,132885000,-46,1,1
127,133885000,-48,1,1
128,134885000,-46,1,1
129,135885000,-42,1,1
130,136885000,42,0,0
131,137885000,42,0,0
132,138885000,-42,1,1
133,139885000,-40,1,1
134,140885000,38,0,0
135,141885000,-38,1,1
136,142885000,38,0,0
137,143885000,-38,1,1
138,144885000,38,0,0
139,145885000,-38,1,1
140,146885000,38,0,0
141,147885000,-40,1,1
142,148885000,-46,1,1
143,149885000,-48,1,1
144,150885000,-48,1,1
145,151885000,-48,1,1
146,152885000,-48,1,1
147,153885000,-48,1,1
148,154885000,-48,1,1
149,155885000,-48,1,1
150,156885000,-46,1,1
151,157885000,-42,1,1
152,158885000,42,0,0
153,159885000,46,0,0
154,160885000,42,0,0
155,161885000,-42,1,1
156,162885000,-46,1,1
157,163885000,-46,1,1
158,164885000,-42,1,1
159,165885000,42,0,0
160,166885000,46,0,0
161,167885000,42,0,0
162,168885000,-42,1,1
163,169885000,-40,1,1
164,170885000,40,0,0
165,171885000,-40,1,1
166,172885000,-46,1,1
167,173885000,-42,1,1
168,174885000,42,0,0
169,175885000,40,0,0
170,176885000,-38,1,1
171,177885000,38,0,0
172,178885000,-40,1,1
173,179885000,-40,1,1
174,180885000,40,0,0
175,181885000,-40,1,1
176,182885000,-46,1,1
177,183885000,-40,1,1
178,184885000,38,0,0
179,185885000,-38,1,1
180,186885000,38,0,0
181,187885000,-40,1,1
182,188885000,-46,1,1
183,189885000,-46,1,1
184,190885000,-40,1,1
185,191885000,38,0,0
186,192885000,-38,1,1
187,193885000,40,0,0
188,194885000,46,0,0
189,195885000,46,0,0
190,196885000,40,0,0
191,197885000,-40,1,1
192,198885000,40,0,0
193,199885000,46,0,0
194,200885000,42,0,0
195,201885000,-42,1,1
196,202885000,-46,1,1
197,203885000,-40,1,1
198,204885000,40,0,0
199,205885000,-40,1,1
200,206885000,-42,1,1
201,207885000,42,0,0
202,208885000,46,0,0
203,209885000,46,0,0
204,210885000,42,0,0
205,211885000,-42,1,1
206,212885000,-46,1,1
207,213885000,-42,1,1
208,214885000,42,0,0
209,215885000,46,0,0
210,216885000,42,0,0
211,217885000,-42,1,1
212,218885000,-40,1,1
